BookName, Author,Publisher,Code 
简素.日本文化的底色,(日) 冈田武彦著,社会科学文献出版社2022,G131.3/40
品牌力量.用品牌和知识产权策略抓住新商机,(英) 希琳·史密斯著,中国科学技术出版社2022,F272.3/624
霍乱之书.写在逃避霍乱的路上,(德) 阿图尔·叔本华著,上海人民出版社2022,B516.41/86
婚姻家庭继承与生活,徐青英著,上海人民出版社2021,DF550.4/305
当货币死亡.魏玛德国赤字开支、货币贬值和恶性通货膨胀的噩梦,(英) 亚当·弗格森著,中国科学技术出版社2022,F825.16/1
零基础愤怒情绪管理笔记,(日) 安藤俊介著,中国科学技术出版社2022,B842.6/469
美国的反智主义,(美) 理查德·霍夫施塔特著,上海译文出版社2021,G171.2/41
《哲学的贫困》这样学,吴波著,研究出版社2022,A811.2/8310
人与物.从身体的视点出发,(意) 罗伯托·埃斯波西托著,长江文艺出版社2022,B82-069/8
生命的立场.如何活出人生的意义,(丹) 斯文·布林克曼著,中信出版社2022,B821-49/1577
《1857-1858年经济学手稿》这样学,汪越_ 张晶_ 朱正平著,研究出版社2022,A811.66/119
生与死.明季士大夫的抉择,何冠彪著,广西师范大学出版社2022,B083/102
失衡的美国.资本主义经济的效率陷阱,(加) 罗杰·马丁著,广东经济出版社2022,F171.2/77
个体的自我拯救.福柯生存美学理论研究,陈帅著,武汉大学出版社2021,B086/111
心理医生来看我,(德) 扎比内·韦里·冯·利蒙著,文汇出版社2022,B84-49/451
惊涛拍岸.上海红色金融,上海通志馆主编,学林出版社2021,F832.96/67
毒品犯罪的新发展及其防治研究,廖斌等著,中国政法大学出版社2022,DF626.4/135
无技术不法律,张延来著,中国法制出版社2022,DF374/172
利益.打造高绩效保险代理人团队,万峰著,中信出版集团股份有限公司2022,F840.4/123
监察立法史研究,钱宁峰 ... [等] 著,东南大学出版社2021,DF211.4/10
驾驭内心的力量.与冲突迷茫说拜拜,刘建辉主编,天津大学出版社2022,B848-49/65
《哥达纲领批判》这样学,张懿著,研究出版社2022,A811.2/8311
《关于费尔巴哈的提纲》这样学,姚景谦著,研究出版社2022,A811.2/8312
华尔街史上最大的对冲基金交易案,(马来) 安妮塔·拉加万著,中国财政经济出版社2022,F837.125/252
日本版式设计入门.基础思维与方法,(日) 佐藤直树著,人民邮电出版社2022,TS881/40
跨区域生态保护补偿研究,彭文英_ 王瑞娟著,经济科学出版社2022,X321.2/399
中国区域经济学,王振等著,上海人民出版社2022,F127/1301
乘势作为.城市软实力提升路径,上海市经济和信息化发展研究中心编著,上海人民出版社2022,G127.51/25
旅游大数据,邓宁_ 牛宇_ 段锐主编,旅游教育出版社2022,F59/46
我国城市公共服务事业运营的理论与实证研究,孙钰著,天津大学出版社2022,D669.3/662
